Année;Perimètre juridique;Perimètre spatial;Spatial perimeter;Indicateur;Indicator;Type de contrat;Type of contract;Collège;Employee category;Plage M3E;M3E classification;Genre;Gender;Valeur;Unité;Unit;Chapitre du bilan social
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDD;Fixed-term non-statutory;;;sans plage;No classification;Homme;Male;1382.0;€;€;§2.1.2.bis
2022;EDF SA;France;France;Promotions dans un collège supérieur;Promotions to a Higher Employee Category;Statutaire;Statutory;Maîtrise vers Cadre;Supervisor to Manager;;;Femme;Female;152.0;nombre;number;§1.5.1
2022;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Statutaire;Statutory;Maitrise;Supervisors;;;Femme;Female;313.0;M€;M€;§2.1.1
2022;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Non statutaire CDI;Permanent non-statutory;Cadre;Managers;;;Femme;Female;33.0;M€;M€;§2.1.1
2022;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Non statutaire CDI;Permanent non-statutory;Execution;Operatives;;;Femme;Female;0.0;M€;M€;§2.1.1
2022;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Non statutaire CDD;Fixed-term non-statutory;Cadre;Managers;;;Femme;Female;2.0;M€;M€;§2.1.1
2022;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Non statutaire CDD;Fixed-term non-statutory;Execution;Operatives;;;Homme;Male;13.0;M€;M€;§2.1.1
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDI;Permanent non-statutory;Execution;Operatives;;;Homme;Male;0.0;€;€;§2.1.2
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;B;B;Homme;Male;8132.0;€;€;§2.1.2.bis
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;H;H;Femme;Female;3044.0;€;€;§2.1.2.bis
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;I;I;Femme;Female;3136.0;€;€;§2.1.2.bis
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;sans plage;No classification;Femme;Female;6926.0;€;€;§2.1.2.bis
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDI;Permanent non-statutory;;;sans plage;No classification;Femme;Female;9107.0;€;€;§2.1.2.bis
2022;EDF SA;France;France;Promotions dans un collège supérieur;Promotions to a Higher Employee Category;Statutaire;Statutory;Exécution vers Maîtrise;Operative to Supervisor;;;Homme;Male;235.0;nombre;number;§1.5.1
2022;EDF SA;France;France;Promotions dans un collège supérieur;Promotions to a Higher Employee Category;Non statutaire CDI;Permanent non-staturory;Maîtrise vers Cadre;Supervisor to Manager;;;Femme;Female;0.0;nombre;number;§1.5.1
2022;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Statutaire;Statutory;Maitrise;Supervisors;;;Homme;Male;1043.0;M€;M€;§2.1.1
2022;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Non statutaire CDD;Fixed-term non-statutory;Cadre;Managers;;;Homme;Male;4.0;M€;M€;§2.1.1
2022;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Non statutaire CDD;Fixed-term non-statutory;Maitrise;Supervisors;;;Homme;Male;19.0;M€;M€;§2.1.1
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;Cadre;Managers;;;Homme;Male;7353.0;€;€;§2.1.2
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;Maitrise;Supervisors;;;Femme;Female;3913.0;€;€;§2.1.2
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;Execution;Operatives;;;Homme;Male;3546.0;€;€;§2.1.2
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;Execution;Operatives;;;Femme;Female;3016.0;€;€;§2.1.2
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDI;Permanent non-statutory;Cadre;Managers;;;Femme;Female;9390.0;€;€;§2.1.2
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDI;Permanent non-statutory;Maitrise;Supervisors;;;Homme;Male;3583.0;€;€;§2.1.2
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDI;Permanent non-statutory;Maitrise;Supervisors;;;Femme;Female;3553.0;€;€;§2.1.2
